event_id,title
19,"В целях популяризации добровольчества (волонтерства) проведена информационная и рекламная кампания, в том числе размещены рекламные ролики на ТВ и в информационно-телекоммуникационной сети ""Интернет"""
20,"Модернизированы два действующих научно-исследовательских судна - ""Академик Мстислав Келдыш"" и ""Академик Иоффе"""
21,"Завершено создание уникальной научной установки класса ""мегасайенс"" ЦКП ""СКИФ"" с 6 экспериментальными станциями"
22,Ликвидированы наиболее опасные объекты накопленного вреда окружающей среде
23,Введены в промышленную эксплуатацию мощности по обработке (сортировке) твердых коммунальных отходов
24,"Введены в промышленную эксплуатацию мощности по утилизации и(или) обезвреживанию отходов, в том числе выделенных в результате раздельного накопления и(или) обработки (сортировки) твердых коммунальных отходов"
25,Выпущены личинки омуля и молодь осетра
26,"Сокращена общая площадь территорий, подвергшихся высокому и экстремально высокому загрязнению и оказывающих воздействие на озеро Байкал"
27,"Созданы производственно-технические комплексы по обработке, утилизации и обезвреживанию отходов I и II классов опасности на базе имущественных комплексов объектов по уничтожению химического оружия"
28,Осуществлено финансовое обеспечение оказания медицинской помощи больным с онкологическими заболеваниями в соответствии с клиническими рекомендациями в 85 субъектах Российской Федерации
29,Создана современная инфраструктура оказания медицинской помощи больным с онкологическими заболеваниями (новое строительство и реконструкция)
30,Введены в эксплуатацию объекты капитального строительства для размещения граждан в стационарных организациях социального обслуживания в субъектах Российской Федерации
31,Проведены физкультурные и комплексные физкультурные мероприятия для всех категорий и групп населения
32,Подготовлены новые кадры и  проведено повышение квалификации специалистов в сфере физической культуры и спорта
33,Проведены мероприятия по развитию системы подготовки спортивного резерва
34,"Проведены мероприятия по увеличению площади лесовосстановления на лесных участках, не переданных в аренду"
35,Сформирован запас лесных семян для лесовосстановления на всех участках вырубленных и погибших лесных насаждений.
36,"Поставлены транспортные средства в подразделения, осуществляющие контроль (надзор) в области безопасности дорожного движения"
37,"Подразделения, осуществляющие контрольные и надзорные функции в области обеспечения безопасности дорожного движения, оснащены специальными техническими средствами измерений, используемыми для контроля за безопасностью при эксплуатации автомобильных дорог"
38,"Подразделения, осуществляющие контрольные и надзорные функции в области обеспечения безопасности дорожного движения, оснащены укладками для оказания первой помощи сотрудниками Госавтоинспекции"
39,Создана (модернизирована) система комплексной автоматизации контрольно-надзорной деятельности
40,"Подразделения, осуществляющие контрольные и надзорные функции в области обеспечения безопасности дорожного движения, оснащены средствами индикации (обнаружения) признаков опьянения"
41,"Осуществлен  обмен между Минздравом России и МВД России сведениями о выданных медицинских заключениях о наличии (отсутствии) у водителей транспортных средств (кандидатов в водители транспортных средств) медицинских противопоказаний, медицинских показаний или медицинских ограничений к управлению транспортными средствами"
42,"Выполнены дорожные работы, в целях увеличения протяженности автомобильных дорог, соответствующих нормативным требованиям"
43,"Реализованы мероприятия по управлению и содержанию федерального проекта ""Формирование комфортной городской среды"""
44,Семьи с ребенком (детьми) распорядились средствами материнского (семейного) капитала
45,"Семьи, в которых рождены первый и/или последующие дети, воспользовались правом получения ипотечного кредита (займа) по ставке 6 процентов годовых"
46,Построены и введены в эксплуатацию (приобретены) объекты спорта  региональной (муниципальной) собственности
47,Реализованы мероприятия по различным направлениям добровольчества (волонтерства)
48,Улучшено экологическое состояние гидрографической сети
49,Обеспечена расчистка участков водных объектов Нижней Волги
50,"Принято Правительственной комиссией по развитию жилищного строительства и оценке эффективности использования земельных участков, находящихся в собственности Российской Федерации, решение о вовлечении в оборот земельных участков"
51,Реализованы мероприятия по повышению безопасности дорожного движения при ее организации на автомобильных дорогах общего пользования федерального значения
52,Усовершенствовано организационное и методическое сопровождение деятельности по обеспечению автомобильных перевозок пассажиров и грузов
53,Реализованы мероприятия по развитию системы оказания помощи пострадавшим в дорожно-транспортных происшествиях
54,Реализованы мероприятия по повышению уровня автоматизации и конструктивной безопасности транспортных средств
55,Обеспечен ввод жилья в субъектах Российской Федерации
56,"Проведена переподготовка и повышение квалификации работников дорожного хозяйства в рамках созданной и актуализированной системы повышения квалификации для работников дорожного хозяйства, ориентированной на обучение применению новых и наилучших технологий, материалов и технологических решений повторного применения"
57,"Проведены мероприятия, направленные на привитие детям навыков безопасного участия в дорожном движении и вовлечению их в деятельность отрядов юных инспекторов движения"
58,Проведена социологическая оценка удовлетворенности населения экологической обстановкой
59,"Осуществлена реконструкция объектов в аэропортовых комплексах, находящихся в собственности субъектов Российской Федерации"
60,"Осуществлена реконструкция объектов в аэропортовых комплексах, находящихся в собственности Российской Федерации"
61,"Организована работа по информационному сопровождению в средствах массовой информации и сети ""Интернет"" реализации мероприятий по обеспечению безопасности дорожного движения"
62,"Осуществлена ежегодная поверка и ремонт имеющихся в подразделениях, осуществляющих контрольные и надзорные функции в области обеспечения безопасности дорожного движения, специальных технических средств измерений, используемых для контроля за безопасностью при эксплуатации транспортных средств и автомобильных дорог"
63,Обеспечено функционирование автоматизированной информационной системы тахографического контроля
64,"Проведены социальные кампании, использующие каналы коммуникации, с целью повышения грамотности и уровня правосознания участников дорожного движения, сокращения количества дорожно-транспортных происшествий и снижения тяжести последствий"
65,"Субъектами Российской Федерации созданы условия для вовлечения детей и молодежи в деятельность по профилактике дорожно-транспортного травматизма, включая развитие детско-юношеских автошкол, отрядов юных инспекторов движения и пр."
66,"Субъектами Российской Федерации организована системная работа с родителями по обучению детей основам правил дорожного движения и привитию им навыков безопасного поведения на дорогах, обеспечению безопасности детей при перевозках в транспортных средствах"
67,"Субъектами Российской Федерации приобретены технические средства обучения, наглядные учебные и методические материалы для организаций, осуществляющих обучение детей, работу по профилактике детского дорожно-транспортного травматизма"
68,"Осуществлена съемка рельефа дна в акватории Северного морского пути и на лимитирующих участках Енисейского залива, рек Енисей и Колыма в рамках навигационно-гидрографического обеспечения судоходства на трассах Северного морского пути."
69,Построены новые современные научно-исследовательские судна неограниченного района плавания
70,Введены в эксплуатацию исследовательские станции Международного центра нейтронных исследований на базе высокопоточного реактора ПИК
71,Завершено строительство третьего и четвертого серийных универсальных атомных ледоколов проекта 22220
72,Реализовано строительство объектов портовой инфраструктуры Северного морского пути
73,"Созданы и реконструированы объекты транспортной инфраструктуры, аварийно-спасательного, гидрографического и лоцмейстерского флота в целях развития Северного морского пути"
74,"Обеспечено создание, развитие и эксплуатация цифровой платформы АИС Ростехнадзора в целях предоставления электронных услуг на Едином портале государственных и муниципальных услуг и исполнения государственных контрольных и надзорных функций в электронном виде"
75,"Реализованы проекты по разработке и внедрению российских решений в сфере ИТ, поддержанные в рамках грантовых программ Российского фонда развития информационных технологий"
76,"ППК ""Российский экологический оператор"" обеспечено выполнение мероприятий, направленных на формирование комплексной системы обращения с твердыми коммунальными отходами"
77,Отобраны победители Всероссийского конкурса лучших проектов создания комфортной городской среды в малых городах и исторических поселениях
78,Создана инфраструктура по утилизации твердых коммунальных отходов путем их использования для производства электрической и (или) тепловой энергии
79,Осуществлено функциональное развитие и материально-техническое обеспечение единой информационно-аналитической системы безопасности дорожного движения МВД России
80,"Создан проектный офис федерального проекта ""Сохранение озера Байкал"", обеспечено его функционирование."
81,Обеспечено разъяснение законодательства Российской Федерации о безопасности дорожного движения с использованием средств массовой информации и возможностей социальной рекламы
82,"Осуществлено строительство и модернизация гидрографических судов ледового класса (строительство гидрографического судна ледового класса Arc7, а также модернизация трех гидрографических судов ледового класса)."
83,Обеспечено оперативное информационно-аналитическое сопровождение и организационно-техническая поддержка деятельности Правительства Российской Федерации
84,"Обеспечено создание, развитие и сопровождение государственной информационной системы ""Капиталовложения"", обеспечена ее эксплуатация"
85,Проведены научно-исследовательские и опытно-конструкторские работы по приоритетным направлениям исследований и разработок в области создания экспериментально-стендовой базы двухкомпонентной атомной энергетики
86,Проведены научно-исследовательские и опытно-конструкторские работы по разработке опытно-демонстрационных и промышленных ядерных энерготехнологий нового поколения на базе реакторов на быстрых нейтронах со свинцовым и натриевым теплоносителями для двухкомпонентной ядерной энергетической системы
87,"Завершены мероприятия по сооружению инфраструктуры проектного направления ""Прорыв"""
88,"Проведены научно-исследовательские работы в обеспечение разработки нормативно правовых актов в области термоядерных и гибридных систем, в том числе с целью обеспечения лицензионной деятельности в данной сфере"
89,"Проведены научно-исследовательские работы в целях получения данных по взаимодействию плазмы с обращенными к плазме элементами с использованием инструментальных диагностических средств, цифровых систем управления, сбора и обработки данных на учебно-демонстрационной установке типа ""токамак"""
90,Проведены научно-исследовательские и опытно-конструкторские работы по разработке и обоснованию технологических и конструктивных решений реакторной установки с исследовательским жидкосолевым реактором и модуля переработки отработавшего ядерного топлива
91,Проведены научно-исследовательские и опытно-конструкторские работы по разработке  технологии экстремального  состояния  вещества и синтеза сверхтяжелых элементов
92,Проведены научно-исследовательские и опытно-конструкторские работы по созданию новых материалов и новых производственных технологий изготовления изделий для атомной энергетики и других отраслей промышленности
93,Реализованы программы развития международных математических центров мирового уровня
94,"Реализованы программы развития научных центров мирового уровня, выполняющих исследования и разработки по приоритетам научно-технологического развития"
95,"Обеспечена эксплуатация и развитие информационных систем и сервисов органов прокуратуры, информационно-телекоммуникационной инфраструктуры и ее компонентов"
96,Реконструированы и (или) капитально отремонтированы региональные и муниципальные детские школы искусств по видам искусств
97,"Обеспечено развитие и сопровождение инфраструктуры электронного правительства, национальной системы управления данными, а также информационных систем, необходимых для их функционирования"
98,"Обеспечено развитие и сопровождение информационно-технологической инфраструктуры МВД России для организации межведомственного обмена в режиме онлайн данными, необходимыми для предоставления государственных и муниципальных услуг и сервисов на Едином портале государственных и муниципальных услуг, в том числе данными паспортного и регистрационного учёта граждан и лиц без гражданства, сведений о транспортных средствах, штрафах за нарушение правил безопасности дорожного движения, сведений о наличии судимости"
99,"Обеспечена модернизация системы предоставления государственных услуг, исполнения государственных функций и межведомственного взаимодействия ФСБ России."
100,"Обеспечено создание, развитие, внедрение, эксплуатация, методологическая поддержка и мониторинг новых цифровых технологий (информационных систем) в сфере государственного управления, в том числе для оценки качества оказания государственных (муниципальных) услуг, обеспечения информационной безопасности"
101,Реализованы мероприятия Федеральной научно-технической программы развития генетических технологий
102,"Обеспечено оказание услуг по формированию и предоставлению информационно-телекоммуникационных сервисов, включая создание, развитие, эксплуатацию цифровых платформ и систем (в том числе на основе единой цифровой платформы Российской Федерации ""ГосТех""), функционирующих на основе единых облачных решений и инфраструктуры для органов государственной власти (государственных органов), органов местного самоуправления, государственных внебюджетных фондов, государственных (муниципальных) учреждений, публично-правовых компаний, органов публичной власти федеральной территории ""Сириус"", некоммерческих организаций, включенных в реестр социально ориентированных некоммерческих организаций, и автономной некоммерческой организации ""Аналитический центр при Правительстве Российской Федерации"""
103,"Обеспечивается выделение бюджетных мест для очного обучения по программам бакалавриата и специалитета не менее 50% от общего количества выпускников школ, завершивших обучение по программам среднего общего образования"
104,"Реализованы программы развития центров геномных исследований мирового уровня (консорциумов), выполняющих исследования и разработки по актуальным направлениям развития геномных исследований с участием российских и зарубежных ведущих ученых"
105,Реализованы программы развития региональных научно-образовательных математических центров
106,"Созданы лаборатории мирового уровня под руководством ведущих ученых с мировым именем, в том числе соотечественников, проживающих за рубежом"
107,Выполнены морские экспедиции на научно-исследовательских судах
108,Созданы селекционно-семеноводческие и селекционно-племенные центры в области сельского хозяйства для создания и внедрения в агропромышленный комплекс современных технологий на основе собственных разработок научных и образовательных организаций
109,"Реализованы мероприятия по выполнению программ центров трансфера технологий, осуществляющих коммерциализацию результатов интеллектуальной деятельности научных организаций и образовательных организаций высшего образования"
110,Предоставлен доступ к информационным ресурсам для научных и образовательных организаций высшего образования и федеральных библиотек
111,"Сотрудники предприятий-участников национального проекта обучены по программе развития управленческих навыков ""Лидеры производительности"""
112,Предприятиям-участникам национального проекта оказана акселерационная поддержка по развитию экспортного потенциала
113,"Обеспечено увеличение численности детей и молодежи в возрасте до 35 лет, вовлеченных в социально активную деятельность через увеличение охвата патриотическими проектами"
114,"Проведены мероприятия по развитию системы межпоколенческого взаимодействия и обеспечения преемственности поколений, поддержки общественных инициатив и проектов, направленных на гражданское и патриотическое воспитание детей и молодежи"
115,"Обеспечена реализация Всероссийского конкурса ""Большая перемена"", в том числе обеспечены выплаты победителям Всероссийского конкурса ""Большая перемена""."
116,"Реализованы программы развития образовательных организаций высшего образования с целью формирования группы университетов - национальных лидеров для формирования научного, технологического и кадрового обеспечения экономики и социальной сферы, повышения глобальной конкурентоспособности системы высшего образования и содействия региональному развитию"
117,Осуществлено развитие нормативно-технической базы дорожной отрасли.
118,Создана и актуализирована общедоступная информационная система контроля за формированием и использованием средств дорожных фондов всех уровней
119,Техническое и методическое сопровождение СОУ «Эталон» в рамках реализации национального проекта
120,"Обеспечено проведение мероприятий, направленных на содействие в гражданско-патриотическом и духовно-нравственном воспитании граждан Российской Федерации, а также на развитие дружбы и сотрудничества людей всех национальностей и народов как внутри России, так и за рубежом"
121,"Обеспечен доступ к финансовым ресурсам посредством выпуска облигаций, в том числе с использованием мер поддержки (объем размещенных субъектами малого и среднего предпринимательства выпусков облигаций, ежегодно)"
122,"Модернизированы центры занятости населения (территориальные подразделения), в которых реализованы региональные проекты, направленные на повышение эффективности службы занятости"
123,Реализованы программы деятельности научно-образовательных центров мирового уровня
124,"Реализованы комплексные проекты по созданию высокотехнологичных производств в рамках развития кооперации вузов, научных учреждений и производственных предприятий"
125,"Создан принципиально новый перспективный источник, превосходящий по техническим характеристикам действующие и проектируемые международные источники синхротронного излучения"
126,"Модернизирован Курчатовский специализированный источник синхротронного излучения ""КИСИ-Курчатов"""
127,"Создан новейший отечественный научно-образовательный медицинский центр ядерной медицины на базе НИЦ ""Курчатовский институт"""
128,Внедрены новые подходы к работе центров занятости населения
129,Обучены работники предприятий-участников национального проекта с использованием инфраструктуры Ворлдскиллс
130,Реализованы проекты по повышению производительности труда на предприятиях-участниках национального проекта под федеральным управлением (совместно с экспертами ФЦК) в соответствии с индивидуальными потребностями
131,"Реализованы проекты по повышению производительности труда на предприятиях-участниках национального проекта по направлению ""Бережливое производство"" с помощью созданной региональной инфраструктуры обеспечения повышения производительности труда"
132,"Подтверждены компетенции рационализатора и пройдена сертификация работников предприятий-участников национального проекта, в том числе студентов образовательных организаций"
133,"Семьи при рождении второго ребенка, третьего или последующих детей получили государственный сертификат на материнский (семейный) капитал"
134,"Проведены мероприятия, выявляющие уровень удовлетворенности граждан качеством и доступностью автомобильных дорог, проведена информационно-разъяснительная работа и экспертно-социологическое сопровождения национального проекта Безопасные качественные дороги"
135,"Увеличен объем поставок российской промышленной продукции на внешние рынки за счет льготного кредитования организаций, реализующих корпоративные программы повышения конкурентоспособности"
136,Увеличен объем поставок российской промышленной продукции за счет компенсации части затрат связанных с проведением НИОКР и (или) омологацией существующей промышленной продукции для внешних рынков
137,"Созданы сервисы цифровой экосистемы ""Одно окно"" экспортера на базе цифровой платформы АО ""Российский экспортный центр"" в рамках инициативы социально-экономического развития Российской Федерации ""Цифровая экосистема ""Одно окно"" экспортера"""
138,Реализованы мероприятия Федеральной научно-технической программы развития синхротронных и нейтронных исследований и исследовательской инфраструктуры
