event_id,raw_text
10,"Реализованы мероприятия, предусмотренные паспортом ведомственного проекта по цифровизации городского хозяйства ""Умный город"". В субъектах Российской Федерации: -улучшены условия жизни граждан на территории муниципальных образований за счет внедрения современных технологий; -повышен уровень цифровизации городского хозяйства конкретных городов и эффективность использования ресурсов; -улучшено качество управления городским хозяйством."
11,Размещены автоматические пункты весогабаритного контроля транспортных средств на автомобильных дорогах федерального значения. Подготовлен статус-отчет о размещении автоматических пунктов весогабаритного контроля транспортных средств на автомобильных дорогах федерального значения.
12,"Размещены автоматические пункты весогабаритного контроля транспортных средств на автомобильных дорогах регионального или межмуниципального, местного значения. Подготовлен статус-отчет о размещении автоматических пунктов весогабаритного контроля транспортных средств на автомобильных дорогах регионального или межмуниципального, местного значения ."
13,"Внедрены новые технические требования и стандарты обустройства автомобильных дорог, в том числе на основе цифровых технологий, направленные на устранение мест концентрации дорожно-транспортных происшествий. Разработка и внедрение новых технических требований и стандартов обустройства автомобильных дорог в целях снижения количества мест концентрации дорожно-транспортных происшествий и повышения безопасности дорожного движения с использованием современных цифровых технологий и интеллектуальных транспортных систем."
14,"Создан и актуализирован Реестр новых и наилучших технологий, материалов и технологических решений повторного применения. Первичное наполнение Реестра информацией о технологиях (материалах, конструкциях), применяемых в дорожном хозяйстве согласно стандартам организаций, получивших согласование к применению в Федеральном дорожном агентстве и Государственной компании Автодор. Наполнение и актуализация сведений, содержащихся в информационной базе Реестра, включая оценку соответствия комплектов документов, поступающих в составе заявок на включение в Реестр сведений о технологиях (материалах, конструкциях), требованиям действующих документов по стандартизации, в том числе стандартов доказательной базы ТР ТС 014/2011. Обеспечение методической поддержки и эксплуатации информационной системы Реестра."
15,"Обеспечено развитие волонтерской (добровольческой) деятельности, создание инфраструктуры поддержки волонтерства (добровольчества) во всех сферах человеческой деятельности. Оказана государственная поддержка организации, уставная деятельность которой направлена на развитие волонтерской (добровольческой) деятельности, создание инфраструктуры поддержки волонтерства (добровольчества) во всех сферах человеческой деятельности. По итогам оказанной поддержки Ассоциации волонтерских центров обеспечено развитие единой информационной системы в сфере развития добровольчества (волонтерства), количество учетных записей которой к концу 2026 года не менее 4,1 млн. единиц, обеспечено проведение межрегиональных и международных стажировок в сфере добровольчества, проведены мероприятия в субъектах РФ и иностранных государствах, в том числе в рамках программы повышения мобильности лучших волонтеров, проведен конкурсный отбор проектов в сфере развития добровольчества, созданы региональные ресурсные центры добровольчества, добровольческие центры в образовательных организациях всех типов, центры серебряного добровольчества."
16,"Осуществлены мероприятия с целью прохождения координаторами добровольцев (волонтеров) курсов (лекций, программ) по работе в сфере добровольчества (волонтерства) и технологиям работы с добровольцами (волонтерами) на базе центров поддержки добровольчества (волонтерства), НКО, образовательных организаций и иных учреждений, осуществляющих деятельность в сфере добровольчества (волонтерства). Разработаны и реализованы мероприятия с целью прохождения координаторами добровольцев (волонтеров) курсов (лекций,программ) по работе в сфере добровольчества (волонтерства) и технологиям работы с добровольцами (волонтерами) на базе центров поддержки добровольчества (волонтерства), НКО, образовательных организаций и иных учреждений, осуществляющих деятельность в сфере добровольчества (волонтерства). Мероприятия разработаны с учетом российской и международной практики и возможностью модульного освоения курсов (лекций, программ) по работе в сфере добровольчества (волонтерства) и технологиям работы с добровольцами (волонтерами) на базе центров поддержки добровольчества (волонтерства), НКО, образовательных организаций и иных учреждений, осуществляющих деятельность в сфере добровольчества (волонтерства)."
17,"Реализованы практики поддержки добровольчества (волонтерства) по итогам проведения ежегодного конкурса по предоставлению субсидии субъектам Российской Федерации на реализацию практик поддержки и развития добровольчества (волонтерства) ""Регион добрых дел"". Разработана конкурсная документация и проведен конкурсный отбор на предоставление субсидий (грантов) лучшим практикам в сфере добровольчества (волонтерства), реализуемым в субъектах Российской Федерации, по широкому спектру направлений добровольческой (волонтерской) деятельности. Ежегодно поддержано не менее 20 субъектов Российской Федерации, которые реализуют практики поддержки добровольчества (волонтерства) по итогам проведения Всероссийского конкурса лучших региональных практик поддержки волонтерства ""Регион добрых дел""."
18,"Обеспечено проведение мероприятий, направленных на развитие добровольчества в сфере здравоохранения. Оказана государственная поддержка организации, уставная деятельность которой направлена на развитие добровольчества в сфере здравоохранения. По итогам оказанной поддержки организации ежегодно реализованы мероприятия, направленные на развитие медицинского добровольчества (волонтерства), в том числе обеспечено функционирование региональных отделений в сфере медицинского добровольчества (волонтерства) в субъектах Российской Федерации."
19,"В целях популяризации добровольчества (волонтерства) проведена информационная и рекламная кампания, в том числе размещены рекламные ролики на ТВ и в информационно-телекоммуникационной сети ""Интернет"". Ежегодно организована и проведена информационная и рекламная кампании по популяризации добровольчества (волонтерства). Охват аудитории теле- и радиорекламы составил не менее 5 000 000 просмотров ежегодно, также в информационно-телекоммуникационной сети ""Интернет"" и социальных сетях ежегодно размещено не менее 1 000 информационных материалов в год."
20,"Модернизированы два действующих научно-исследовательских судна - ""Академик Мстислав Келдыш"" и ""Академик Иоффе"". Во втором полугодии 2020 года до начала проведения работ по капитальному ремонту будут разработаны проекты обновления научно-исследовательских судов - ""Академик Мстислав Келдыш"" и ""Академик Иоффе"" в части модернизации научного и судового оборудования. В 2023 году будет завершен первый этап капитального ремонта судов. Работы будут выполнены в соответствии с требованиями международных, национальных и региональных нормативных документов, конвенций и правил. Будут получены классификационные освидетельствования Российского морского регистра судоходства Российской Федерации. В 2025 году будет завершено комплектование научным оборудованием для проведения комплексных исследований в Мировом океане. Суда обеспечат выполнение долгосрочного плана морских экспедиций в дальневосточном регионе и присутствие России в отдаленных точках Тихого и Индийского океанов."
21,"Завершено создание уникальной научной установки класса ""мегасайенс"" ЦКП ""СКИФ"" с 6 экспериментальными станциями. В соответствии с Указом Президента Российской Федерации от 25 июля 2019  г.  № 356 ""О мерах по развитию синхротронных и нейтронных исследований и исследовательской инфраструктуры в Российской Федерации"" и Федеральной научно-технической программой развития синхротронных и нейтронных исследований и исследовательской инфраструктуры на период до 2030 года и дальнейшую перспективу в Новосибирской области будет создан источник синхротронного излучения поколения 4+. После ввода в эксплуатацию 6 станций ЦКП ""СКИФ"", планируется получение научных и технологических результатов научных направлений, предусмотренных Федеральной научно-технической программой развития синхротронных и нейтронных исследований, направленных на развитие наукоемких производственных технологий в области материаловедения, химии, фармакологии, энергетики, механики, машиностроения, а также решение задач в области медицины, геологии, электроники, квантовых технологий, развитие ускорительных, реакторных и космических технологий. Ключевые результаты: 31 декабря 2024 г. - запуск линейного ускорителя источника синхротронного излучения поколения 4+; декабрь 2025 г. - завершено создание источника синхротронного излучения с 6 экспериментальными станциями и первого этапа исследовательской инфраструктуры."
22,"Ликвидированы наиболее опасные объекты накопленного вреда окружающей среде. По состоянию на 31 декабря 2024 года будет ликвидировано 88 наиболее опасных объектов накопленного вреда окружающей среде, что позволит улучшить качество жизни 7 178,8 тысяч человек и восстановить 1 074,3 гектаров земель. В рамках ликвидации наиболее опасных объектов к указанному сроку будет реализован: - комплекс мероприятий по ликвидации полигона промышленных токсичных отходов ""Красный бор"", в том числе проведены инженерные изыскания, утверждена проектно-сметная документация. -комплекс неотложных мер по приведению в безопасное состояние объектов, расположенных на территории городского округа г. Усолье-Сибирское Иркутской области и подвергшихся загрязнению в результате экономической деятельности, связанной с производством химической продукции, утвержденный Заместителем Председателя Правительства Российской Федерации от 20 августа 2020 года № 7515п-П11."
23,"Введены в промышленную эксплуатацию мощности по обработке (сортировке) твердых коммунальных отходов. Доля твердых коммунальных отходов, направленных на обработку (сортировку), в общей массе образованных твердых коммунальных отходов по состоянию на 31 декабря 2030 года составит 100%"
24,"Введены в промышленную эксплуатацию мощности по утилизации и(или) обезвреживанию отходов, в том числе выделенных в результате раздельного накопления и(или) обработки (сортировки) твердых коммунальных отходов. Доля направленных на утилизацию и обезвреживание отходов, в том числе выделенных в результате раздельного накопления и (или) обработки (сортировки) твердых коммунальных отходов, в общей массе образованных твердых коммунальных отходов по состоянию на 31 декабря 2030 года составит 49,5%"
25,"Выпущены личинки омуля и молодь осетра. К концу 2021 года обеспечен выпуск не менее 300 млн шт. личинок омуля и 300 тыс. шт. молоди осетра. К концу 2024 года обеспечены условия для сохранения и воспроизводства уникальных водных биологических ресурсов озера Байкал, в том числе путем реконструкции Большереченского рыбоводного заводаобщей производственной мощностью 1000 млн. шт. личинок омуля."
26,"Сокращена общая площадь территорий, подвергшихся высокому и экстремально высокому загрязнению и оказывающих воздействие на озеро Байкал. Очищены к концу 2026 года 200,006 га территорий, подвергшихся высокому и экстремально высокому загрязнению и оказывающие воздействие на озеро Байкал, понижен уровень надшламовых вод в картах-накопителях ОАО ""БЦБК"" в рамках ликвидации чрезвычайной ситуации, связанной с угрозой загрязнения озера Байкал надшламовыми водами."
27,"Созданы производственно-технические комплексы по обработке, утилизации и обезвреживанию отходов I и II классов опасности на базе имущественных комплексов объектов по уничтожению химического оружия. В целях обеспечения вклада в достижение показателя по доле утилизированных и обезвреженных отходов в общем объеме отходов I и II классов опасности введены в опытно-промышленную эксплуатацию в 2024 году производственно-технические комплексы по обработке, утилизации и обезвреживанию отходов I и II классов опасности Горный, Щучье с последующим их вводом в эксплуатацию в 2025 году в рамках реализации соответствующего структурного элемента государственной программы Развитие атомного энергопромышленного комплекса, введены в эксплуатацию в 2026 году производственно-технические комплексы по обработке, утилизации и обезвреживанию отходов I и II классов опасности Камбарка, Марадыковский"
28,"Осуществлено финансовое обеспечение оказания медицинской помощи больным с онкологическими заболеваниями в соответствии с клиническими рекомендациями в 85 субъектах Российской Федерации. Бюджетам субъектов Российской Федерации предоставлено финансирование за счет которой гражданам Российской Федерации будет оказана медицинская помощь больным с онкологическими заболеваниями, в соответствии с клиническими рекомендациями. С учетом указанного межбюджетного трансферта бюджетом Федерального фонда обязательного медицинского страхования будут доводиться в составе субвенции бюджетам территориальных фондов обязательного медицинского страхования и в составе субсидии федеральным государственным учреждениям и медицинским организациям частной системы здравоохранения на финансовое обеспечение высокотехнологичной медицинской помощи, не включенной в базовую программу обязательного медицинского страхования. Кроме того, с 2021 года в бюджете Федерального фонда обязательного медицинского страхования предусмотрены средства на оплату медицинской помощи пациентам с онкологическими заболеваниями в рамках базовой программы ОМС в федеральных государственных учреждениях. Это позволит увеличить доступность и качество медицинской помощи пациентам с онкологическими заболеваниями, в том числе в части противоопухолевой лекарственной терапии, лучевой терапии, лучевой терапии в сочетании с противоопухолевой лекарственной терапией, хирургического лечения."
29,"Создана современная инфраструктура оказания медицинской помощи больным с онкологическими заболеваниями (новое строительство и реконструкция). Всего в рамках федерального проекта за период 2019-2028 планируется построить (реконструировать) 20 объектов капитального строительства. Из них объекты федеральной собственности - 1 (строительство), объекты субъектов Российской Федерации - 19. Из них за период 2019-2024 планируется ввести в эксплуатацию 19 объектов капитального строительства субъектов Российской Федерации, 1 объект планируется ввести в 2028 году. Данное мероприятие будет способствовать повышению доступности специализированной онкологической медицинской помощи в субъектах Российской Федерации, тем самым оказывая влияние на снижение смертности"
30,"Введены в эксплуатацию объекты капитального строительства для размещения граждан в стационарных организациях социального обслуживания в субъектах Российской Федерации. Финансовое обеспечение задачи по строительству (реконструкции) зданий организаций, осуществляющих стационарное социальное обслуживание, включая социально-реабилитационные мероприятия, а также по проектированию зданий таких организаций на новых территориях Российской Федерации в целях обеспечения введения койко-мест в стационарных организациях социального обслуживания, обеспечивающих комфортное проживание граждан, в том числе инвалидов старше трудоспособного возраста, нуждающихся в постоянной помощи (мужчин старше 65 лет и женщин старше 60 лет)."
31,"Проведены физкультурные и комплексные физкультурные мероприятия для всех категорий и групп населения. К участию в физкультурных и комплексных физкультурных мероприятиях привлекаются все категории и группы населения, граждане всех возрастов с участием не менее 1 100 000 человек, в том числе мероприятия среди детей и учащейся молодежи с участием не менее 100 000 человек и мероприятия среди различных групп населения не менее 1 000 000 человек. Мероприятия носят массовый характер. К мероприятиям относятся, например, открытая Всероссийская массовая лыжная гонка ""Лыжня России"", всероссийское соревнование по футболу среди детских команд ""Кожаный мяч"", физкультурные и спортивные мероприятия студенческих спортивных лиг и др. Финансирование мероприятий осуществляется за счет предоставления подведомственной Минспорту России организации субсидии из федерального бюджета на выполнение государственного задания по реализации Единого календарного плана межрегиональных, всероссийских и международных физкультурных мероприятий и спортивных мероприятий (ЕКП), субсидии некоммерческим организациям на финансовое обеспечение мероприятий, связанных с развитием физической культуры и спорта, в том числе инвалидов и лиц с ограниченными возможностями здоровья, подготовкой и участием инвалидов с умственной отсталостью в физкультурных и спортивных мероприятиях."
32,"Подготовлены новые кадры и  проведено повышение квалификации специалистов в сфере физической культуры и спорта. В рамках подготовки кадров и повышения квалификации специалистов в сфере физической культуры и спорта дополнительные профессиональные программы могут реализовываться образовательными организациями и организациями, осуществляющими обучение, на основании соответствующей лицензии. Общее число подготовленных специалистов является целевым показателем результата федерального проекта. В 2021 г. планируется осуществить подготовку инструкторов по спорту (переподготовка) - 6000 чел., тренеров (переподготовку) - 3000, инструкторов по спорту, тренеров и иных специалистов (повышение квалификации) – 12400 чел., тренеров и специалистов по футболу (повышение квалификации) - 2500 чел., тренеров и специалистов по хоккею (повышение квалификации) - 500 чел.; в 2022 г.: инструкторов по спорту (переподготовку) - 5000 чел., тренеров (переподготовку) – 3130 чел., инструкторов по спорту, тренеров и иных специалистов (повышение квалификации) – 5870 чел.; тренеров и специалистов по футболу (повышение квалификации) - 2500 чел., тренеров и специалистов по хоккею (повышение квалификации) - 500 чел.; в 2023 г.:планируется осуществить подготовкутренеров и иных специалистов (повышение квалификации) – 7605 чел. В 2024 годупланируется осуществить подготовкутренеров и иных специалистов (повышение квалификации) - 6882 чел."
